review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1YK8YNSJEWYOJ,3,0,27,N,Y
R1EKU0OJFN8AB1,1,6,37,N,N
R3H5XBBDGMFOL0,5,26,35,N,Y
R1LVT02AH34C95,1,199,221,N,N
R8FTCCXCMWLYT,1,43,46,N,Y
R3K26M246B1DBK,5,21,21,N,Y
R356TXBYE4LV2D,4,115,143,N,N
RQS96J48DAIZG,1,18,28,N,N
RXHQCPUJEBGNJ,5,20,24,N,Y
R18G08UUJXWJOU,1,1,24,N,N
R886C1K2K1LNL,1,21,24,N,Y
R3S5ADJ916DKTO,5,26,29,N,Y
R7UQ7ME8NFJMX,1,0,20,N,N
R29PVCCUKSAG7M,1,40,40,N,Y
R2YECFXEN2OKDM,1,39,54,N,Y
R38EVNXO73AUGO,5,21,22,N,Y
R39XRLN68OVO1T,2,22,28,N,N
R3ET75KMNJT2TM,5,23,23,N,Y
R11UUBU7JEIYCJ,1,16,22,N,N
R2D2XIRBRHU0BV,1,1,47,N,N
R3C2QAGDAVT3BZ,1,22,27,N,Y
R35DU99CE52BYO,1,0,20,N,Y
R3RTGS1KTQRJWW,3,35,41,N,N
R1JG73JTZYCMYU,5,62,66,N,Y
R3AB0GEESD4LTA,1,34,46,N,Y
R16DK605P69DHO,5,87,98,N,Y
R3OQO0JJGRR6IE,1,1,20,N,Y
R2JO54EFXYZGO9,1,1,21,N,Y
R132E84VXM40E2,1,14,51,N,N
R3PQAMDDMVEA12,1,12,23,N,Y
R2YE3ZKM39SNA7,1,7,38,N,N
R1PUVR0UB847N9,1,87,109,N,Y
R3CBWUV168DQCN,5,27,29,N,Y
R1A61AWO67YTG9,5,83,88,N,Y
RYEX6B5DJSV6T,1,2,24,N,Y
R3FO6Y3UIULQY3,1,0,26,N,Y
R1LZGGNT5U530L,5,21,22,N,Y
R24F9DDHFF8HPP,1,1,54,N,N
R2KYHUZRBZUI5Y,1,8,23,N,N
R2I7JGWRHYXVG9,1,4,52,N,Y
R9N72U34I35G0,1,3,31,N,N
R1RXZXSWUD8P77,1,6,20,N,Y
R3J0HZ0OKIXH5Q,2,21,30,N,N
R36I9AKSUBYA9C,4,20,25,N,Y
RQQZFZX6QU9ID,1,40,41,N,Y
RY5DO7YXPBWFF,1,2,21,N,Y
R2I9PPU8QCQK40,5,22,24,N,Y
R2KFNWH0HM5MQ2,3,16,23,N,N
R3G3KOBWGUNJ6W,1,47,49,N,Y
R4UP60DRN22EC,4,34,42,N,N
RPA7HWGG6B6QX,3,21,24,N,Y
R1D9YKHFVJNQM1,1,20,59,N,N
RABV7PGL4QG78,5,24,29,N,Y
RM4KSGEOR7MU1,5,19,24,Y,N
R1MEASIPZYEBWK,1,1,48,N,Y
R12QDP42WSHWVM,1,1,89,N,N
R27ICTLXQQJ3DL,4,24,33,N,Y
R8YMPUZZEGYDE,5,35,40,N,Y
R2U68I98KD796O,1,2,49,N,Y
R3672PFXSV1YDS,1,12,32,N,Y
R1ZWR3D7RB1FXN,5,21,26,N,Y
R26OQY0D8FB0TN,1,16,20,N,Y
R3KMX9UZK442XI,1,42,42,N,Y
R8PO4A147BEY6,1,2,25,N,Y
R2D5UZBYWF1C6M,1,50,67,N,Y
R9Y2NQK2HKM1N,1,4,116,N,N
R3I434MTQAZI57,1,0,34,N,Y
R2P4OES7MM70IQ,4,20,22,N,N
R1FGAEV0MHQWKJ,1,8,101,N,N
R118B93YIOJBNL,1,1,20,N,N
R38NZU2NC9VEO0,5,19,22,N,N
R27RQISJ1LQVXW,1,5,150,N,N
RQEZ8Q9CCFK39,4,29,32,N,N
R2X7V63JKA9Z0Y,5,23,28,N,Y
R227CU1HOM7L8L,4,29,33,N,N
